Gen   0:	9915	10087	9936	10062
Gen   1:	15070	8010	7862	9058
Gen   2:	17968	6682	6575	8775
Gen   3:	19637	5797	5714	8852
Gen   4:	20829	5091	5037	9043
Gen   5:	21693	4572	4502	9233
Gen   6:	22299	4134	4130	9437
Gen   7:	22833	3832	3746	9589
Gen   8:	23166	3512	3472	9850
Gen   9:	23502	3262	3177	10059
Gen  10:	23728	3044	2914	10314
Gen  11:	23853	2876	2726	10545
Gen  12:	23954	2725	2517	10804
Gen  13:	23966	2562	2393	11079
Gen  14:	24033	2431	2254	11282
Gen  15:	24183	2252	2106	11459
Gen  16:	24230	2139	1973	11658
Gen  17:	24245	2065	1855	11835
Gen  18:	24205	1940	1752	12103
Gen  19:	24070	1874	1654	12402
Gen  20:	24072	1770	1562	12596
Gen  21:	24046	1672	1499	12783
Gen  22:	23977	1621	1437	12965
Gen  23:	23897	1550	1355	13198
Gen  24:	23865	1467	1265	13403
Gen  25:	23781	1411	1195	13613
Gen  26:	23721	1360	1099	13820
Gen  27:	23631	1308	1036	14025
Gen  28:	23513	1234	988	14265
Gen  29:	23397	1187	951	14465
Gen  30:	23444	1127	895	14534
Gen  31:	23415	1099	882	14604
Gen  32:	23290	1066	843	14801
Gen  33:	23234	1037	793	14936
Gen  34:	23237	993	735	15035
Gen  35:	23156	971	703	15170
Gen  36:	23132	930	678	15260
Gen  37:	23103	887	643	15367
Gen  38:	23078	840	626	15456
Gen  39:	23074	829	610	15487
Gen  40:	23026	793	592	15589
Gen  41:	22931	769	559	15741
Gen  42:	22879	734	543	15844
Gen  43:	22875	713	520	15892
Gen  44:	22763	700	490	16047
Gen  45:	22700	657	480	16163
Gen  46:	22644	637	450	16269
Gen  47:	22543	600	425	16432
Gen  48:	22566	573	399	16462
Gen  49:	22540	549	383	16528
Gen  50:	22522	532	368	16578
Gen  51:	22467	517	346	16670
Gen  52:	22439	500	323	16738
Gen  53:	22403	488	315	16794
Gen  54:	22359	471	300	16870
Gen  55:	22366	459	279	16896
Gen  56:	22345	442	274	16939
Gen  57:	22342	434	265	16959
Gen  58:	22339	405	257	16999
Gen  59:	22278	397	241	17084
Gen  60:	22220	381	233	17166
Gen  61:	22232	369	222	17177
Gen  62:	22250	350	221	17179
Gen  63:	22198	334	219	17249
Gen  64:	22169	319	207	17305
Gen  65:	22146	307	195	17352
Gen  66:	22126	289	192	17393
Gen  67:	22095	280	184	17441
Gen  68:	22043	269	177	17511
Gen  69:	21973	256	162	17609
Gen  70:	21919	251	147	17683
Gen  71:	21905	250	143	17702
Gen  72:	21948	244	137	17671
Gen  73:	21952	242	129	17677
Gen  74:	21800	235	128	17837
Gen  75:	21776	229	116	17879
Gen  76:	21744	220	114	17922
Gen  77:	21683	215	114	17988
Gen  78:	21730	194	117	17959
Gen  79:	21635	189	113	18063
Gen  80:	21593	189	106	18112
Gen  81:	21619	186	100	18095
Gen  82:	21580	185	98	18137
Gen  83:	21595	180	93	18132
Gen  84:	21579	182	92	18147
Gen  85:	21632	170	93	18105
Gen  86:	21656	153	85	18106
Gen  87:	21653	154	82	18111
Gen  88:	21668	152	73	18107
Gen  89:	21740	142	72	18046
Gen  90:	21670	136	70	18124
Gen  91:	21626	130	70	18174
Gen  92:	21589	125	62	18224
Gen  93:	21617	122	61	18200
Gen  94:	21570	118	56	18256
Gen  95:	21550	111	53	18286
Gen  96:	21586	107	51	18256
Gen  97:	21614	106	53	18227
Gen  98:	21669	100	50	18181
Gen  99:	21652	96	45	18207
Gen 100:	21693	96	40	18171
Gen 101:	21733	90	41	18136
Gen 102:	21652	87	44	18217
Gen 103:	21662	81	45	18212
Gen 104:	21678	77	47	18198
Gen 105:	21633	75	47	18245
Gen 106:	21599	73	47	18281
Gen 107:	21557	72	47	18324
Gen 108:	21603	68	39	18290
Gen 109:	21532	68	36	18364
Gen 110:	21513	66	37	18384
Gen 111:	21458	63	38	18441
Gen 112:	21450	57	37	18456
Gen 113:	21471	54	33	18442
Gen 114:	21507	54	29	18410
Gen 115:	21498	53	30	18419
Gen 116:	21510	49	31	18410
Gen 117:	21609	46	30	18315
Gen 118:	21611	47	27	18315
Gen 119:	21593	46	28	18333
Gen 120:	21648	43	30	18279
Gen 121:	21658	40	29	18273
Gen 122:	21666	36	28	18270
Gen 123:	21591	34	27	18348
Gen 124:	21551	30	30	18389
Gen 125:	21505	31	27	18437
Gen 126:	21405	29	26	18540
Gen 127:	21427	25	24	18524
Gen 128:	21425	25	19	18531
Gen 129:	21348	25	15	18612
Gen 130:	21398	24	14	18564
Gen 131:	21436	24	14	18526
Gen 132:	21438	22	12	18528
Gen 133:	21449	24	12	18515
Gen 134:	21449	24	12	18515
Gen 135:	21432	23	14	18531
Gen 136:	21458	21	12	18509
Gen 137:	21595	17	8	18380
Gen 138:	21600	15	8	18377
Gen 139:	21592	17	8	18383
Gen 140:	21479	19	7	18495
Gen 141:	21378	17	6	18599
Gen 142:	21399	19	5	18577
Gen 143:	21384	17	7	18592
Gen 144:	21482	16	9	18493
Gen 145:	21457	17	10	18516
Gen 146:	21463	19	11	18507
Gen 147:	21511	17	13	18459
Gen 148:	21468	16	12	18504
Gen 149:	21460	14	12	18514
Gen 150:	21486	13	11	18490
Gen 151:	21549	14	10	18427
Gen 152:	21552	10	10	18428
Gen 153:	21502	9	9	18480
Gen 154:	21484	8	10	18498
Gen 155:	21558	9	12	18421
Gen 156:	21527	8	11	18454
Gen 157:	21546	9	9	18436
Gen 158:	21527	9	9	18455
Gen 159:	21499	10	8	18483
Gen 160:	21521	11	7	18461
Gen 161:	21444	11	7	18538
Gen 162:	21465	12	7	18516
Gen 163:	21468	10	7	18515
Gen 164:	21505	10	6	18479
Gen 165:	21551	10	6	18433
Gen 166:	21594	10	7	18389
Gen 167:	21663	8	8	18321
Gen 168:	21552	8	8	18432
Gen 169:	21544	8	5	18443
Gen 170:	21551	8	5	18436
Gen 171:	21522	8	5	18465
Gen 172:	21528	8	4	18460
Gen 173:	21562	8	5	18425
Gen 174:	21543	7	6	18444
Gen 175:	21540	6	4	18450
Gen 176:	21574	5	4	18417
Gen 177:	21568	5	3	18424
Gen 178:	21591	4	4	18401
Gen 179:	21652	4	3	18341
Gen 180:	21645	3	4	18348
Gen 181:	21622	4	5	18369
Gen 182:	21677	3	4	18316
Gen 183:	21638	3	4	18355
Gen 184:	21548	3	4	18445
Gen 185:	21533	3	4	18460
Gen 186:	21498	3	4	18495
Gen 187:	21453	3	4	18540
Gen 188:	21398	2	3	18597
Gen 189:	21319	2	3	18676
Gen 190:	21408	2	4	18586
Gen 191:	21506	2	3	18489
Gen 192:	21524	2	3	18471
Gen 193:	21550	2	3	18445
Gen 194:	21452	2	3	18543
Gen 195:	21456	1	3	18540
Gen 196:	21425	1	3	18571
Gen 197:	21439	1	2	18558
Gen 198:	21364	1	2	18633
Gen 199:	21322	1	2	18675
Gen 200:	21363	1	2	18634
Gen 201:	21329	1	2	18668
Gen 202:	21369	0	2	18629
Gen 203:	21333	0	2	18665
Gen 204:	21345	0	1	18654
Gen 205:	21309	0	1	18690
