Gen   0:	6695	6524	6769	6732	6641	6639
Gen   1:	8907	6144	6405	6278	6153	6113
Gen   2:	10666	5806	6164	5966	5763	5635
Gen   3:	12086	5568	6025	5640	5448	5233
Gen   4:	13217	5350	5892	5459	5162	4920
Gen   5:	14249	5163	5819	5236	4950	4583
Gen   6:	15080	5022	5748	5067	4762	4321
Gen   7:	15781	4890	5731	4947	4591	4060
Gen   8:	16384	4791	5688	4813	4474	3850
Gen   9:	16827	4690	5749	4710	4342	3682
Gen  10:	17335	4611	5727	4627	4204	3496
Gen  11:	17848	4540	5711	4506	4073	3322
Gen  12:	18139	4488	5769	4464	3966	3174
Gen  13:	18458	4438	5803	4449	3842	3010
Gen  14:	18778	4374	5803	4405	3745	2895
Gen  15:	19004	4305	5864	4385	3683	2759
Gen  16:	19145	4253	5894	4399	3651	2658
Gen  17:	19402	4177	5957	4364	3575	2525
Gen  18:	19604	4086	6032	4340	3507	2431
Gen  19:	19773	3973	6113	4345	3444	2352
Gen  20:	19890	3940	6128	4378	3389	2275
Gen  21:	20031	3901	6145	4379	3347	2197
Gen  22:	20211	3812	6150	4378	3322	2127
Gen  23:	20314	3776	6242	4347	3281	2040
Gen  24:	20368	3717	6340	4334	3243	1998
Gen  25:	20403	3698	6404	4356	3206	1933
Gen  26:	20521	3642	6426	4356	3168	1887
Gen  27:	20635	3597	6499	4333	3120	1816
Gen  28:	20746	3524	6563	4367	3051	1749
Gen  29:	20798	3513	6558	4380	3040	1711
Gen  30:	20801	3471	6664	4399	2999	1666
Gen  31:	20918	3421	6666	4436	2949	1610
Gen  32:	20936	3377	6728	4445	2931	1583
Gen  33:	21061	3307	6734	4458	2895	1545
Gen  34:	21092	3276	6785	4462	2891	1494
Gen  35:	21190	3173	6859	4468	2879	1431
Gen  36:	21250	3140	6899	4470	2851	1390
Gen  37:	21239	3146	6938	4500	2828	1349
Gen  38:	21317	3114	6937	4524	2795	1313
Gen  39:	21268	3095	7004	4567	2779	1287
Gen  40:	21317	3044	7022	4603	2761	1253
Gen  41:	21307	3009	7116	4600	2730	1238
Gen  42:	21241	2996	7173	4649	2722	1219
Gen  43:	21308	2951	7168	4680	2707	1186
