Gen   0:	6747	6579	6699	6645	6675	6655
Gen   1:	10045	5990	6069	5928	6021	5947
Gen   2:	12363	5528	5672	5373	5628	5436
Gen   3:	14045	5170	5358	4988	5395	5044
Gen   4:	15398	4906	5092	4602	5241	4761
Gen   5:	16404	4691	4951	4344	5118	4492
Gen   6:	17144	4534	4824	4133	5048	4317
Gen   7:	17738	4453	4739	3912	4957	4201
Gen   8:	18307	4317	4669	3712	4913	4082
Gen   9:	18901	4245	4531	3531	4879	3913
Gen  10:	19373	4176	4487	3328	4843	3793
Gen  11:	19698	4124	4427	3198	4819	3734
Gen  12:	20010	4046	4404	3065	4801	3674
Gen  13:	20260	3986	4359	2952	4786	3657
Gen  14:	20368	3988	4355	2890	4765	3634
Gen  15:	20553	3914	4314	2765	4853	3601
Gen  16:	20786	3880	4281	2668	4834	3551
Gen  17:	20981	3837	4277	2577	4844	3484
Gen  18:	21232	3749	4267	2513	4814	3425
Gen  19:	21357	3693	4259	2468	4819	3404
Gen  20:	21478	3610	4258	2398	4884	3372
Gen  21:	21545	3586	4323	2321	4913	3312
Gen  22:	21641	3578	4291	2270	4913	3307
Gen  23:	21750	3529	4314	2208	4904	3295
Gen  24:	21818	3496	4345	2166	4920	3255
Gen  25:	21785	3469	4361	2114	5008	3263
Gen  26:	21822	3454	4345	2068	5036	3275
Gen  27:	21843	3422	4351	2009	5144	3231
Gen  28:	21901	3360	4374	1967	5165	3233
Gen  29:	21968	3300	4340	1941	5191	3260
Gen  30:	22053	3246	4309	1919	5204	3269
Gen  31:	21897	3253	4363	1896	5287	3304
Gen  32:	21892	3258	4334	1861	5318	3337
Gen  33:	21999	3205	4301	1822	5365	3308
Gen  34:	22031	3160	4307	1767	5411	3324
Gen  35:	22028	3164	4303	1721	5419	3365
Gen  36:	22117	3119	4269	1689	5416	3390
Gen  37:	22165	3066	4277	1633	5411	3448
Gen  38:	22272	2983	4295	1608	5400	3442
Gen  39:	22270	2975	4276	1580	5465	3434
Gen  40:	22251	2967	4327	1559	5466	3430
Gen  41:	22193	2974	4317	1522	5506	3488
Gen  42:	22263	2946	4339	1496	5482	3474
Gen  43:	22243	2902	4326	1497	5531	3501
Gen  44:	22295	2859	4299	1493	5533	3521
Gen  45:	22306	2822	4286	1483	5576	3527
Gen  46:	22316	2786	4308	1466	5589	3535
Gen  47:	22263	2797	4289	1454	5615	3582
Gen  48:	22270	2733	4308	1448	5639	3602
Gen  49:	22322	2690	4275	1437	5677	3599
Gen  50:	22317	2674	4241	1436	5711	3621
Gen  51:	22389	2618	4225	1411	5716	3641
Gen  52:	22368	2575	4218	1383	5784	3672
