Gen   0:	7977	7987	7892	8046	8098
Gen   1:	10179	7473	7482	7436	7430
Gen   2:	11854	7108	7131	6977	6930
Gen   3:	13154	6827	6951	6591	6477
Gen   4:	14280	6587	6789	6264	6080
Gen   5:	15178	6379	6717	6004	5722
Gen   6:	15943	6258	6645	5738	5416
Gen   7:	16575	6110	6680	5485	5150
Gen   8:	17143	5958	6676	5326	4897
Gen   9:	17615	5900	6689	5133	4663
Gen  10:	18053	5802	6675	5011	4459
Gen  11:	18393	5696	6705	4909	4297
Gen  12:	18833	5573	6712	4769	4113
Gen  13:	19080	5519	6777	4644	3980
Gen  14:	19312	5438	6856	4568	3826
Gen  15:	19542	5386	6894	4466	3712
Gen  16:	19772	5300	6925	4394	3609
Gen  17:	19956	5213	7022	4317	3492
Gen  18:	20155	5177	7044	4256	3368
Gen  19:	20286	5146	7109	4208	3251
Gen  20:	20352	5115	7199	4176	3158
Gen  21:	20437	5071	7274	4150	3068
Gen  22:	20536	5029	7302	4124	3009
Gen  23:	20633	4998	7350	4075	2944
Gen  24:	20758	4941	7364	4037	2900
Gen  25:	20797	4896	7439	3991	2877
Gen  26:	20831	4879	7474	3983	2833
Gen  27:	20839	4857	7537	3974	2793
Gen  28:	20943	4824	7548	3931	2754
Gen  29:	21024	4783	7568	3892	2733
Gen  30:	21138	4755	7590	3837	2680
Gen  31:	21133	4718	7685	3820	2644
Gen  32:	21146	4673	7750	3815	2616
Gen  33:	21219	4659	7770	3788	2564
Gen  34:	21168	4623	7845	3784	2580
Gen  35:	21229	4601	7831	3793	2546
Gen  36:	21292	4552	7848	3774	2534
Gen  37:	21324	4503	7924	3752	2497
Gen  38:	21407	4438	7947	3726	2482
Gen  39:	21382	4443	8005	3720	2450
Gen  40:	21412	4398	8045	3727	2418
Gen  41:	21473	4361	8042	3729	2395
Gen  42:	21455	4327	8099	3723	2396
Gen  43:	21538	4248	8098	3727	2389
Gen  44:	21564	4239	8137	3706	2354
Gen  45:	21592	4214	8129	3717	2348
Gen  46:	21620	4197	8138	3716	2329
Gen  47:	21581	4186	8219	3705	2309
Gen  48:	21614	4135	8265	3708	2278
Gen  49:	21608	4126	8279	3730	2257
Gen  50:	21582	4096	8327	3734	2261
Gen  51:	21587	4062	8356	3759	2236
Gen  52:	21564	4017	8428	3759	2232
Gen  53:	21633	3944	8439	3762	2222
Gen  54:	21610	3941	8460	3763	2226
Gen  55:	21564	3927	8511	3786	2212
Gen  56:	21583	3920	8507	3776	2214
Gen  57:	21550	3882	8579	3782	2207
Gen  58:	21505	3899	8616	3784	2196
Gen  59:	21462	3897	8614	3824	2203
Gen  60:	21413	3893	8651	3831	2212
Gen  61:	21437	3859	8674	3827	2203
Gen  62:	21404	3815	8737	3830	2214
Gen  63:	21418	3764	8776	3832	2210
Gen  64:	21392	3776	8813	3827	2192
Gen  65:	21397	3734	8811	3888	2170
Gen  66:	21331	3719	8840	3933	2177
Gen  67:	21370	3675	8841	3935	2179
Gen  68:	21374	3651	8857	3923	2195
Gen  69:	21336	3603	8885	3957	2219
Gen  70:	21297	3589	8900	3994	2220
Gen  71:	21308	3541	8933	4000	2218
Gen  72:	21301	3551	8929	3995	2224
Gen  73:	21343	3531	8925	4001	2200
Gen  74:	21341	3517	8930	3994	2218
Gen  75:	21392	3473	8912	4009	2214
Gen  76:	21405	3453	8886	4026	2230
Gen  77:	21378	3474	8861	4061	2226
Gen  78:	21413	3445	8821	4076	2245
Gen  79:	21367	3447	8848	4082	2256
Gen  80:	21390	3436	8814	4108	2252
Gen  81:	21353	3437	8821	4104	2285
Gen  82:	21408	3464	8733	4120	2275
Gen  83:	21366	3445	8743	4163	2283
Gen  84:	21333	3443	8758	4168	2298
Gen  85:	21293	3410	8813	4179	2305
Gen  86:	21272	3425	8783	4210	2310
Gen  87:	21269	3426	8790	4202	2313
Gen  88:	21270	3424	8777	4212	2317
Gen  89:	21363	3376	8723	4211	2327
Gen  90:	21337	3374	8732	4218	2339
Gen  91:	21338	3351	8712	4216	2383
Gen  92:	21404	3323	8650	4245	2378
Gen  93:	21358	3307	8681	4268	2386
Gen  94:	21411	3252	8654	4305	2378
Gen  95:	21377	3229	8683	4346	2365
Gen  96:	21429	3224	8654	4339	2354
Gen  97:	21439	3201	8679	4334	2347
Gen  98:	21432	3183	8692	4335	2358
Gen  99:	21433	3164	8652	4393	2358
Gen 100:	21389	3128	8699	4410	2374
Gen 101:	21379	3157	8643	4428	2393
Gen 102:	21319	3140	8684	4433	2424
Gen 103:	21282	3141	8697	4435	2445
Gen 104:	21204	3140	8721	4474	2461
Gen 105:	21304	3113	8628	4499	2456
Gen 106:	21319	3115	8613	4492	2461
Gen 107:	21251	3125	8636	4535	2453
Gen 108:	21307	3097	8602	4548	2446
Gen 109:	21331	3040	8618	4570	2441
Gen 110:	21296	3018	8671	4586	2429
Gen 111:	21344	3021	8652	4583	2400
Gen 112:	21381	3009	8634	4568	2408
Gen 113:	21402	2978	8626	4559	2435
Gen 114:	21395	2947	8642	4560	2456
Gen 115:	21387	2948	8638	4563	2464
