Gen   0:	9805	9984	9993	10218
Gen   1:	10472	9703	9705	10120
Gen   2:	11031	9419	9449	10101
Gen   3:	11613	9162	9204	10021
Gen   4:	12046	8900	8999	10055
Gen   5:	12484	8656	8773	10087
Gen   6:	12859	8436	8552	10153
Gen   7:	13311	8235	8315	10139
Gen   8:	13707	8035	8107	10151
Gen   9:	14065	7828	7921	10186
Gen  10:	14421	7639	7734	10206
Gen  11:	14748	7436	7541	10275
Gen  12:	15042	7250	7379	10329
Gen  13:	15311	7093	7193	10403
Gen  14:	15645	6913	7015	10427
Gen  15:	15901	6746	6847	10506
Gen  16:	16197	6591	6665	10547
Gen  17:	16481	6437	6497	10585
Gen  18:	16725	6276	6339	10660
Gen  19:	16904	6133	6193	10770
Gen  20:	17135	5989	6027	10849
Gen  21:	17317	5856	5874	10953
Gen  22:	17484	5720	5727	11069
Gen  23:	17650	5595	5593	11162
Gen  24:	17762	5489	5483	11266
Gen  25:	17939	5348	5375	11338
Gen  26:	18067	5234	5245	11454
Gen  27:	18264	5082	5103	11551
Gen  28:	18376	4962	4973	11689
Gen  29:	18464	4852	4850	11834
Gen  30:	18598	4737	4743	11922
Gen  31:	18747	4617	4640	11996
Gen  32:	18895	4506	4518	12081
Gen  33:	18993	4390	4397	12220
Gen  34:	19119	4288	4273	12320
Gen  35:	19196	4189	4171	12444
Gen  36:	19289	4091	4057	12563
Gen  37:	19369	3993	3960	12678
Gen  38:	19468	3871	3865	12796
Gen  39:	19560	3778	3753	12909
Gen  40:	19613	3708	3666	13013
Gen  41:	19660	3598	3593	13149
Gen  42:	19729	3514	3488	13269
Gen  43:	19781	3423	3415	13381
Gen  44:	19834	3340	3320	13506
Gen  45:	19876	3250	3245	13629
Gen  46:	19944	3161	3162	13733
Gen  47:	20012	3082	3086	13820
Gen  48:	20052	3005	3019	13924
Gen  49:	20123	2919	2966	13992
Gen  50:	20162	2824	2899	14115
Gen  51:	20242	2756	2819	14183
Gen  52:	20265	2695	2752	14288
Gen  53:	20259	2632	2677	14432
Gen  54:	20280	2559	2614	14547
Gen  55:	20350	2482	2543	14625
Gen  56:	20334	2421	2490	14755
Gen  57:	20373	2354	2442	14831
Gen  58:	20436	2291	2374	14899
Gen  59:	20555	2220	2303	14922
Gen  60:	20599	2170	2252	14979
Gen  61:	20647	2111	2179	15063
Gen  62:	20710	2057	2117	15116
Gen  63:	20761	1998	2053	15188
Gen  64:	20780	1945	1996	15279
