Gen   0:	9972	10050	9922	10056
Gen   1:	12541	9146	8894	9419
Gen   2:	14471	8365	8240	8924
Gen   3:	15854	7772	7616	8758
Gen   4:	16982	7318	7113	8587
Gen   5:	17947	6847	6751	8455
Gen   6:	18696	6524	6354	8426
Gen   7:	19169	6247	6104	8480
Gen   8:	19643	6009	5831	8517
Gen   9:	20034	5787	5560	8619
Gen  10:	20445	5572	5299	8684
Gen  11:	20723	5368	5108	8801
Gen  12:	20919	5208	4914	8959
Gen  13:	21059	5038	4786	9117
Gen  14:	21257	4955	4587	9201
Gen  15:	21344	4807	4469	9380
Gen  16:	21462	4659	4336	9543
Gen  17:	21634	4539	4172	9655
Gen  18:	21773	4401	4046	9780
Gen  19:	21849	4290	3903	9958
Gen  20:	21949	4187	3788	10076
Gen  21:	22043	4053	3669	10235
Gen  22:	22146	3924	3579	10351
Gen  23:	22126	3850	3469	10555
Gen  24:	22165	3729	3363	10743
Gen  25:	22087	3654	3285	10974
Gen  26:	22108	3540	3195	11157
Gen  27:	22188	3417	3094	11301
Gen  28:	22209	3369	2998	11424
Gen  29:	22289	3287	2921	11503
Gen  30:	22304	3201	2877	11618
Gen  31:	22339	3095	2776	11790
Gen  32:	22301	2999	2708	11992
Gen  33:	22285	2947	2660	12108
Gen  34:	22276	2885	2584	12255
Gen  35:	22291	2823	2527	12359
Gen  36:	22474	2714	2424	12388
Gen  37:	22498	2675	2366	12461
Gen  38:	22467	2631	2316	12586
Gen  39:	22466	2563	2239	12732
Gen  40:	22430	2521	2142	12907
Gen  41:	22459	2425	2089	13027
Gen  42:	22451	2384	2014	13151
Gen  43:	22511	2324	1956	13209
Gen  44:	22394	2265	1913	13428
Gen  45:	22486	2179	1876	13459
Gen  46:	22499	2124	1815	13562
Gen  47:	22513	2059	1756	13672
Gen  48:	22557	1986	1703	13754
Gen  49:	22604	1954	1643	13799
Gen  50:	22542	1909	1603	13946
Gen  51:	22473	1881	1560	14086
Gen  52:	22562	1804	1510	14124
Gen  53:	22587	1746	1451	14216
Gen  54:	22531	1674	1410	14385
Gen  55:	22465	1613	1351	14571
Gen  56:	22580	1560	1299	14561
Gen  57:	22588	1519	1245	14648
Gen  58:	22617	1491	1233	14659
Gen  59:	22689	1456	1186	14669
Gen  60:	22697	1410	1139	14754
Gen  61:	22710	1362	1103	14825
Gen  62:	22770	1347	1055	14828
Gen  63:	22714	1314	1039	14933
Gen  64:	22731	1282	1017	14970
Gen  65:	22833	1228	962	14977
Gen  66:	22789	1189	944	15078
Gen  67:	22863	1151	925	15061
Gen  68:	22795	1096	909	15200
Gen  69:	22794	1074	896	15236
Gen  70:	22832	1038	856	15274
Gen  71:	22903	997	826	15274
Gen  72:	22899	979	813	15309
Gen  73:	22899	954	800	15347
Gen  74:	22907	925	770	15398
