Gen   0:	9902	10069	9951	10078
Gen   1:	14394	8498	8307	8801
Gen   2:	17039	7483	7287	8191
Gen   3:	18854	6819	6529	7798
Gen   4:	20080	6335	5956	7629
Gen   5:	21046	5887	5465	7602
Gen   6:	21734	5527	5117	7622
Gen   7:	22199	5319	4795	7687
Gen   8:	22620	5092	4530	7758
Gen   9:	23011	4819	4324	7846
Gen  10:	23236	4623	4142	7999
Gen  11:	23484	4466	3953	8097
Gen  12:	23728	4290	3723	8259
Gen  13:	23987	4097	3575	8341
Gen  14:	24118	3969	3468	8445
Gen  15:	24171	3891	3262	8676
Gen  16:	24374	3713	3141	8772
Gen  17:	24416	3561	3026	8997
Gen  18:	24609	3452	2900	9039
Gen  19:	24723	3298	2839	9140
Gen  20:	24667	3215	2735	9383
Gen  21:	24781	3122	2677	9420
Gen  22:	24831	3029	2550	9590
Gen  23:	24805	2963	2472	9760
Gen  24:	24806	2875	2418	9901
Gen  25:	24777	2812	2357	10054
Gen  26:	24886	2715	2284	10115
Gen  27:	24916	2611	2224	10249
Gen  28:	24917	2501	2136	10446
Gen  29:	25016	2397	2043	10544
Gen  30:	25056	2323	1986	10635
Gen  31:	25073	2226	1929	10772
Gen  32:	25196	2117	1833	10854
Gen  33:	25171	2077	1741	11011
Gen  34:	25160	1970	1681	11189
Gen  35:	25226	1878	1567	11329
Gen  36:	25179	1816	1514	11491
Gen  37:	25222	1753	1457	11568
Gen  38:	25280	1683	1415	11622
Gen  39:	25283	1630	1403	11684
Gen  40:	25320	1519	1332	11829
Gen  41:	25282	1436	1304	11978
Gen  42:	25311	1399	1240	12050
Gen  43:	25365	1329	1220	12086
Gen  44:	25466	1277	1172	12085
Gen  45:	25504	1225	1103	12168
Gen  46:	25516	1164	1100	12220
Gen  47:	25548	1096	1069	12287
Gen  48:	25507	1038	1012	12443
Gen  49:	25543	1028	950	12479
Gen  50:	25481	985	925	12609
Gen  51:	25363	959	905	12773
Gen  52:	25407	908	875	12810
Gen  53:	25376	870	826	12928
Gen  54:	25357	845	782	13016
Gen  55:	25391	814	747	13048
Gen  56:	25424	777	710	13089
Gen  57:	25533	732	666	13069
Gen  58:	25536	704	634	13126
Gen  59:	25551	675	618	13156
Gen  60:	25428	676	597	13299
Gen  61:	25425	667	582	13326
Gen  62:	25476	647	548	13329
Gen  63:	25542	619	517	13322
Gen  64:	25599	590	497	13314
Gen  65:	25570	567	483	13380
Gen  66:	25549	538	478	13435
Gen  67:	25466	512	463	13559
Gen  68:	25551	510	451	13488
Gen  69:	25619	500	432	13449
Gen  70:	25617	490	439	13454
Gen  71:	25729	455	417	13399
Gen  72:	25707	448	389	13456
Gen  73:	25641	419	388	13552
Gen  74:	25719	402	372	13507
Gen  75:	25762	391	357	13490
Gen  76:	25785	374	353	13488
Gen  77:	25811	348	330	13511
Gen  78:	25805	324	318	13553
Gen  79:	25748	304	291	13657
Gen  80:	25709	297	285	13709
Gen  81:	25641	282	282	13795
Gen  82:	25697	258	280	13765
