Gen 147:	21081	3356	6713	8850
Gen 148:	21033	3352	6744	8871
Gen 149:	21071	3320	6754	8855
Gen 150:	21064	3321	6759	8856
Gen 151:	21049	3298	6780	8873
Gen 152:	21104	3270	6751	8875
Gen 153:	21123	3266	6750	8861
Gen 154:	21159	3244	6712	8885
Gen 155:	21158	3224	6688	8930
Gen 156:	21150	3211	6654	8985
Gen 157:	21157	3191	6659	8993
Gen 158:	21126	3161	6670	9043
Gen 159:	21142	3157	6632	9069
Gen 160:	21205	3139	6601	9055
Gen 161:	21225	3145	6579	9051
Gen 162:	21217	3132	6592	9059
Gen 163:	21334	3098	6508	9060
Gen 164:	21336	3091	6499	9074
Gen 165:	21284	3094	6517	9105
Gen 166:	21286	3049	6533	9132
Gen 167:	21370	3042	6512	9076
Gen 168:	21322	3039	6533	9106
Gen 169:	21332	3040	6499	9129
Gen 170:	21264	3063	6486	9187
Gen 171:	21244	3043	6504	9209
Gen 172:	21272	3009	6512	9207
Gen 173:	21261	3022	6506	9211
Gen 174:	21247	3002	6500	9251
Gen 175:	21103	3047	6514	9336
Gen 176:	21180	3019	6493	9308
Gen 177:	21190	3024	6475	9311
Gen 178:	21190	2998	6492	9320
Gen 179:	21207	2991	6500	9302
Gen 180:	21212	2961	6492	9335
Gen 181:	21112	2978	6527	9383
Gen 182:	21086	2981	6530	9403
Gen 183:	21103	2949	6552	9396
Gen 184:	21072	2957	6519	9452
Gen 185:	21087	2945	6506	9462
Gen 186:	21106	2929	6449	9516
Gen 187:	21098	2945	6449	9508
Gen 188:	21145	2905	6441	9509
Gen 189:	21124	2890	6440	9546
Gen 190:	21150	2889	6452	9509
Gen 191:	21112	2865	6473	9550
Gen 192:	21159	2837	6422	9582
Gen 193:	21142	2865	6414	9579
Gen 194:	21202	2831	6393	9574
Gen 195:	21182	2848	6386	9584
Gen 196:	21156	2825	6381	9638
Gen 197:	21178	2801	6376	9645
Gen 198:	21200	2776	6351	9673
Gen 199:	21137	2774	6391	9698
Gen 200:	21194	2759	6366	9681
Gen 201:	21129	2732	6395	9744
Gen 202:	21164	2738	6372	9726
Gen 203:	21135	2767	6395	9703
Gen 204:	21024	2778	6453	9745
Gen 205:	20985	2774	6463	9778
Gen 206:	21018	2773	6444	9765
Gen 207:	21041	2783	6433	9743
Gen 208:	21050	2801	6403	9746
Gen 209:	21046	2788	6387	9779
Gen 210:	21043	2766	6398	9793
Gen 211:	21068	2757	6354	9821
Gen 212:	21069	2780	6331	9820
Gen 213:	21041	2785	6344	9830
Gen 214:	21119	2756	6311	9814
